,title,total_price,distanece,year,URL
0,ヤマハＳＲ５００ ドラムブレーキ,83.72,走行距離 ： 15274Km,年式 ：1998年,https://www.goobike.com/spread/8300030B30210718002/index.html
1,ヤマハＳＲ５００ １ＪＮ ３３５２６,87.8,走行距離 ： 18145Km,年式 ：1992年,https://www.goobike.com/spread/8502372B30210717002/index.html
2,ヤマハＳＲ５００ ドラム型,96.8,走行距離 ： 10200Km,年式 ：1991年,https://www.goobike.com/spread/8701552B30210709001/index.html
3,ヤマハＳＲ５００,110,走行距離 ： 7518Km,年式 ：1984年,https://www.goobike.com/spread/8801219B30210708002/index.html
4,ヤマハＳＲ５００,82.5,走行距離 ： 32301Km,年式 ：1983年,https://www.goobike.com/spread/8500865B30210704001/index.html
5,ヤマハＳＲ５００,110,走行距離 ： 9000Km,年式 ：1985年,https://www.goobike.com/spread/6310165B30210703001/index.html
6,ヤマハＳＲ５００ サンバースト外装仕様,87.3,走行距離 ： 33343Km,年式 ：1989年,https://www.goobike.com/spread/8201740B30210701001/index.html
7,ヤマハＳＲ５００ ＶＭキャブ 前期ディスク,113.3,走行距離 ： 27436Km,年式 ：1981年,https://www.goobike.com/spread/8600031B30210616001/index.html
8,ヤマハＳＲ５００,102.7,走行距離 ： 36061Km,年式 ：1998年,https://www.goobike.com/spread/8201740B30210517004/index.html
9,ヤマハＳＲ５００,92,走行距離 ： 21615Km,年式 ：1992年,https://www.goobike.com/spread/8801289B30210514001/index.html
10,ヤマハＳＲ５００,78,走行距離 ： 58000Km,年式 ：1996年,https://www.goobike.com/spread/8900303B30210512002/index.html
11,ヤマハＳＲ５００ ＦＣＲ オイルクーラー ＷＰリアサス,102.15,走行距離 ： 2687Km,年式 ：1998年,https://www.goobike.com/spread/8400695B30210503008/index.html
12,ヤマハＳＲ５００ １９９７年モデル,97.3,走行距離 ： 18409Km,年式 ：1997年,https://www.goobike.com/spread/8503407B30210424014/index.html
13,ヤマハＳＲ５００ カスタム多数 ２７３９１,70.8,走行距離 ： 減算歴車,年式 ：1984年,https://www.goobike.com/spread/8502372B30200806002/index.html
14,ヤマハＳＲ４００ カフェレーサースタイル コンプリートカスタム車 Ｈ１０４,131.8,走行距離 ： 減算歴車,年式 ：2000年,https://www.goobike.com/spread/8600020B30200216004/index.html
15,ヤマハＳＲ５００ フルカスタム チョッパー ボバー リジッドフレーム,--,走行距離 ： 減算歴車,年式 ：1990年,https://www.goobike.com/spread/8310035B30200213001/index.html
16,ヤマハＳＲ４００ ネオクラシックスタイル コンプリートカスタム車 Ｇ１１５,131.8,走行距離 ： 減算歴車,年式 ：1995年,https://www.goobike.com/spread/8600020B30200206005/index.html
17,ヤマハＳＲ４００ ネオクラシックスタイル コンプリートカスタム車 Ｇ０３７,131.8,走行距離 ： 減算歴車,年式 ：2000年,https://www.goobike.com/spread/8600020B30181002006/index.html
18,ホンダＮＳＲ２５０Ｒ ＳＰ プロアーム,310,走行距離 ： 14810Km,年式 ：1996年,https://www.goobike.com/spread/8701853B30171029002/index.html
19,ヤマハＳＲ４００ フリスコスタイルカスタム フレアーパターン ＺＥ００８,111.8,走行距離 ： 減算歴車,年式 ：1978年,https://www.goobike.com/spread/8600020B30150722002/index.html
